,harvestTime,BikeID,by_hour,battery,EBikeState,EBikeStateID,battery_status,battery_status_id
0,2021-04-30 00:00:02,5,0,70,Normal,2,PERFECT,0
1,2021-04-30 00:00:02,6,0,62,Normal,2,PERFECT,0
2,2021-04-30 00:00:02,7,0,66,Normal,2,PERFECT,0
3,2021-04-30 00:00:02,8,0,70,Normal,2,PERFECT,0
4,2021-04-30 00:00:02,9,0,75,Normal,2,PERFECT,0
5,2021-04-30 00:00:02,10,0,72,Normal,2,PERFECT,0
6,2021-04-30 00:00:02,12,0,65,Normal,2,PERFECT,0
7,2021-04-30 00:00:02,13,0,77,Normal,2,PERFECT,0
8,2021-04-30 00:00:02,14,0,46,Normal,2,GOOD,1
9,2021-04-30 00:00:02,16,0,0,Normal,2,DEAD,3
10,2021-04-30 00:00:02,17,0,48,Normal,2,GOOD,1
11,2021-04-30 00:00:02,18,0,47,Normal,2,GOOD,1
12,2021-04-30 00:00:02,19,0,80,Normal,2,PERFECT,0
13,2021-04-30 00:00:02,20,0,76,Normal,2,PERFECT,0
14,2021-04-30 00:00:02,21,0,77,Normal,2,PERFECT,0
15,2021-04-30 00:00:02,22,0,67,Normal,2,PERFECT,0
16,2021-04-30 00:00:02,25,0,0,Normal,2,DEAD,3
17,2021-04-30 00:00:02,26,0,88,Normal,2,PERFECT,0
18,2021-04-30 00:00:02,27,0,53,Normal,2,GOOD,1
19,2021-04-30 00:00:02,30,0,67,Normal,2,PERFECT,0
20,2021-04-30 00:00:02,31,0,42,Normal,2,GOOD,1
21,2021-04-30 00:00:02,33,0,60,Normal,2,GOOD,1
22,2021-04-30 00:00:02,35,0,47,Normal,2,GOOD,1
23,2021-04-30 00:00:02,41,0,82,Normal,2,PERFECT,0
24,2021-04-30 00:00:02,42,0,77,Normal,2,PERFECT,0
25,2021-04-30 00:00:02,43,0,81,Normal,2,PERFECT,0
26,2021-04-30 00:00:02,44,0,0,Normal,2,DEAD,3
27,2021-04-30 00:00:02,45,0,80,Normal,2,PERFECT,0
28,2021-04-30 00:00:02,48,0,80,Normal,2,PERFECT,0
29,2021-04-30 00:00:02,50,0,43,Normal,2,GOOD,1
30,2021-04-30 00:00:02,52,0,64,Normal,2,PERFECT,0
31,2021-04-30 00:00:02,53,0,47,Normal,2,GOOD,1
32,2021-04-30 00:00:02,55,0,53,Normal,2,GOOD,1
33,2021-04-30 00:00:02,56,0,66,Normal,2,PERFECT,0
34,2021-04-30 00:00:02,59,0,40,Normal,2,GOOD,1
35,2021-04-30 00:00:02,60,0,30,Normal,2,GOOD,1
36,2021-04-30 00:00:02,61,0,33,Normal,2,GOOD,1
37,2021-04-30 00:00:02,63,0,37,Normal,2,GOOD,1
38,2021-04-30 00:00:02,66,0,63,Normal,2,PERFECT,0
39,2021-04-30 00:00:02,69,0,48,Normal,2,GOOD,1
40,2021-04-30 00:00:02,71,0,36,Normal,2,GOOD,1
41,2021-04-30 00:00:02,73,0,57,Normal,2,GOOD,1
42,2021-04-30 00:00:02,74,0,75,Normal,2,PERFECT,0
43,2021-04-30 00:00:02,75,0,67,Normal,2,PERFECT,0
44,2021-04-30 00:00:02,76,0,77,Normal,2,PERFECT,0
45,2021-04-30 00:00:02,80,0,74,Normal,2,PERFECT,0
46,2021-04-30 00:00:02,82,0,78,Normal,2,PERFECT,0
47,2021-04-30 00:00:02,83,0,48,Normal,2,GOOD,1
48,2021-04-30 00:00:02,85,0,67,Normal,2,PERFECT,0
49,2021-04-30 00:00:02,86,0,86,Normal,2,PERFECT,0
50,2021-04-30 00:00:02,87,0,43,Normal,2,GOOD,1
51,2021-04-30 00:00:02,90,0,45,Normal,2,GOOD,1
52,2021-04-30 00:00:02,92,0,80,Normal,2,PERFECT,0
53,2021-04-30 00:00:02,93,0,93,Normal,2,PERFECT,0
54,2021-04-30 00:00:02,94,0,66,Normal,2,PERFECT,0
55,2021-04-30 00:00:02,95,0,45,Normal,2,GOOD,1
56,2021-04-30 00:00:02,96,0,70,Normal,2,PERFECT,0
57,2021-04-30 00:00:02,99,0,47,Normal,2,GOOD,1
58,2021-04-30 00:00:02,102,0,87,Normal,2,PERFECT,0
59,2021-04-30 00:00:02,103,0,65,Normal,2,PERFECT,0
60,2021-04-30 00:00:02,104,0,81,Normal,2,PERFECT,0
61,2021-04-30 00:00:02,106,0,80,Normal,2,PERFECT,0
62,2021-04-30 00:00:02,111,0,68,Normal,2,PERFECT,0
63,2021-04-30 00:00:02,114,0,80,Normal,2,PERFECT,0
64,2021-04-30 00:00:02,116,0,44,Normal,2,GOOD,1
65,2021-04-30 00:00:02,117,0,41,Normal,2,GOOD,1
66,2021-04-30 00:00:02,120,0,47,Normal,2,GOOD,1
67,2021-04-30 00:00:02,124,0,77,Laying on the ground,5,PERFECT,0
68,2021-04-30 00:05:02,5,0,70,Normal,2,PERFECT,0
69,2021-04-30 00:05:02,6,0,62,Normal,2,PERFECT,0
70,2021-04-30 00:05:02,7,0,66,Normal,2,PERFECT,0
71,2021-04-30 00:05:02,8,0,70,Normal,2,PERFECT,0
72,2021-04-30 00:05:02,9,0,75,Normal,2,PERFECT,0
73,2021-04-30 00:05:02,10,0,72,Normal,2,PERFECT,0
74,2021-04-30 00:05:02,12,0,65,Normal,2,PERFECT,0
75,2021-04-30 00:05:02,13,0,77,Normal,2,PERFECT,0
76,2021-04-30 00:05:02,14,0,46,Normal,2,GOOD,1
77,2021-04-30 00:05:02,16,0,0,Normal,2,DEAD,3
78,2021-04-30 00:05:02,17,0,48,Normal,2,GOOD,1
79,2021-04-30 00:05:02,18,0,47,Normal,2,GOOD,1
80,2021-04-30 00:05:02,19,0,80,Normal,2,PERFECT,0
81,2021-04-30 00:05:02,20,0,76,Normal,2,PERFECT,0
82,2021-04-30 00:05:02,21,0,77,Normal,2,PERFECT,0
83,2021-04-30 00:05:02,22,0,67,Normal,2,PERFECT,0
84,2021-04-30 00:05:02,25,0,0,Normal,2,DEAD,3
85,2021-04-30 00:05:02,26,0,88,Normal,2,PERFECT,0
86,2021-04-30 00:05:02,27,0,53,Normal,2,GOOD,1
87,2021-04-30 00:05:02,30,0,67,Normal,2,PERFECT,0
88,2021-04-30 00:05:02,31,0,42,Normal,2,GOOD,1
89,2021-04-30 00:05:02,33,0,60,Normal,2,GOOD,1
90,2021-04-30 00:05:02,35,0,47,Normal,2,GOOD,1
91,2021-04-30 00:05:02,41,0,82,Normal,2,PERFECT,0
92,2021-04-30 00:05:02,42,0,77,Normal,2,PERFECT,0
93,2021-04-30 00:05:02,43,0,81,Normal,2,PERFECT,0
94,2021-04-30 00:05:02,44,0,0,Normal,2,DEAD,3
95,2021-04-30 00:05:02,45,0,80,Normal,2,PERFECT,0
96,2021-04-30 00:05:02,48,0,80,Normal,2,PERFECT,0
97,2021-04-30 00:05:02,50,0,41,Normal,2,GOOD,1
98,2021-04-30 00:05:02,52,0,64,Normal,2,PERFECT,0
99,2021-04-30 00:05:02,53,0,47,Normal,2,GOOD,1
100,2021-04-30 00:05:02,55,0,53,Normal,2,GOOD,1
101,2021-04-30 00:05:02,56,0,66,Normal,2,PERFECT,0
102,2021-04-30 00:05:02,59,0,40,Normal,2,GOOD,1
103,2021-04-30 00:05:02,60,0,30,Normal,2,GOOD,1
104,2021-04-30 00:05:02,61,0,33,Normal,2,GOOD,1
105,2021-04-30 00:05:02,63,0,37,Normal,2,GOOD,1
106,2021-04-30 00:05:02,66,0,63,Normal,2,PERFECT,0
107,2021-04-30 00:05:02,69,0,48,Normal,2,GOOD,1
108,2021-04-30 00:05:02,71,0,36,Normal,2,GOOD,1
109,2021-04-30 00:05:02,73,0,57,Normal,2,GOOD,1
110,2021-04-30 00:05:02,74,0,75,Normal,2,PERFECT,0
111,2021-04-30 00:05:02,75,0,67,Normal,2,PERFECT,0
112,2021-04-30 00:05:02,76,0,77,Normal,2,PERFECT,0
113,2021-04-30 00:05:02,80,0,74,Normal,2,PERFECT,0
114,2021-04-30 00:05:02,82,0,78,Normal,2,PERFECT,0
115,2021-04-30 00:05:02,83,0,48,Normal,2,GOOD,1
116,2021-04-30 00:05:02,85,0,67,Normal,2,PERFECT,0
117,2021-04-30 00:05:02,86,0,86,Normal,2,PERFECT,0
118,2021-04-30 00:05:02,87,0,43,Normal,2,GOOD,1
119,2021-04-30 00:05:02,90,0,45,Normal,2,GOOD,1
120,2021-04-30 00:05:02,92,0,80,Normal,2,PERFECT,0
121,2021-04-30 00:05:02,93,0,93,Normal,2,PERFECT,0
122,2021-04-30 00:05:02,94,0,66,Normal,2,PERFECT,0
123,2021-04-30 00:05:02,95,0,45,Normal,2,GOOD,1
124,2021-04-30 00:05:02,96,0,70,Normal,2,PERFECT,0
125,2021-04-30 00:05:02,99,0,47,Normal,2,GOOD,1
126,2021-04-30 00:05:02,102,0,87,Normal,2,PERFECT,0
127,2021-04-30 00:05:02,103,0,65,Normal,2,PERFECT,0
128,2021-04-30 00:05:02,104,0,81,Normal,2,PERFECT,0
129,2021-04-30 00:05:02,106,0,80,Normal,2,PERFECT,0
130,2021-04-30 00:05:02,111,0,68,Normal,2,PERFECT,0
131,2021-04-30 00:05:02,114,0,80,Normal,2,PERFECT,0
132,2021-04-30 00:05:02,116,0,44,Normal,2,GOOD,1
133,2021-04-30 00:05:02,117,0,41,Normal,2,GOOD,1
134,2021-04-30 00:05:02,120,0,47,Normal,2,GOOD,1
135,2021-04-30 00:05:02,124,0,77,Laying on the ground,5,PERFECT,0
136,2021-04-30 00:10:02,5,0,70,Normal,2,PERFECT,0
137,2021-04-30 00:10:02,6,0,62,Normal,2,PERFECT,0
138,2021-04-30 00:10:02,7,0,66,Normal,2,PERFECT,0
139,2021-04-30 00:10:02,8,0,70,Normal,2,PERFECT,0
140,2021-04-30 00:10:02,9,0,75,Normal,2,PERFECT,0
141,2021-04-30 00:10:02,10,0,72,Normal,2,PERFECT,0
142,2021-04-30 00:10:02,12,0,65,Normal,2,PERFECT,0
143,2021-04-30 00:10:02,13,0,77,Normal,2,PERFECT,0
144,2021-04-30 00:10:02,14,0,46,Normal,2,GOOD,1
145,2021-04-30 00:10:02,16,0,0,Normal,2,DEAD,3
146,2021-04-30 00:10:02,17,0,48,Normal,2,GOOD,1
147,2021-04-30 00:10:02,18,0,47,Normal,2,GOOD,1
148,2021-04-30 00:10:02,19,0,80,Normal,2,PERFECT,0
149,2021-04-30 00:10:02,20,0,76,Normal,2,PERFECT,0
150,2021-04-30 00:10:02,21,0,77,Normal,2,PERFECT,0
151,2021-04-30 00:10:02,22,0,67,Normal,2,PERFECT,0
152,2021-04-30 00:10:02,25,0,0,Normal,2,DEAD,3
153,2021-04-30 00:10:02,26,0,88,Normal,2,PERFECT,0
154,2021-04-30 00:10:02,27,0,53,Normal,2,GOOD,1
155,2021-04-30 00:10:02,30,0,67,Normal,2,PERFECT,0
156,2021-04-30 00:10:02,31,0,42,Normal,2,GOOD,1
157,2021-04-30 00:10:02,33,0,60,Normal,2,GOOD,1
158,2021-04-30 00:10:02,35,0,47,Normal,2,GOOD,1
159,2021-04-30 00:10:02,41,0,82,Normal,2,PERFECT,0
160,2021-04-30 00:10:02,42,0,77,Normal,2,PERFECT,0
161,2021-04-30 00:10:02,43,0,81,Normal,2,PERFECT,0
162,2021-04-30 00:10:02,44,0,0,Normal,2,DEAD,3
163,2021-04-30 00:10:02,45,0,80,Normal,2,PERFECT,0
164,2021-04-30 00:10:02,48,0,80,Normal,2,PERFECT,0
165,2021-04-30 00:10:02,50,0,41,Normal,2,GOOD,1
166,2021-04-30 00:10:02,52,0,64,Normal,2,PERFECT,0
167,2021-04-30 00:10:02,53,0,47,Normal,2,GOOD,1
168,2021-04-30 00:10:02,55,0,53,Normal,2,GOOD,1
169,2021-04-30 00:10:02,56,0,66,Normal,2,PERFECT,0
170,2021-04-30 00:10:02,59,0,40,Normal,2,GOOD,1
171,2021-04-30 00:10:02,60,0,30,Normal,2,GOOD,1
172,2021-04-30 00:10:02,61,0,33,Normal,2,GOOD,1
173,2021-04-30 00:10:02,63,0,37,Normal,2,GOOD,1
174,2021-04-30 00:10:02,66,0,63,Normal,2,PERFECT,0
175,2021-04-30 00:10:02,69,0,48,Normal,2,GOOD,1
176,2021-04-30 00:10:02,71,0,36,Normal,2,GOOD,1
177,2021-04-30 00:10:02,73,0,57,Normal,2,GOOD,1
178,2021-04-30 00:10:02,74,0,75,Normal,2,PERFECT,0
179,2021-04-30 00:10:02,75,0,67,Normal,2,PERFECT,0
180,2021-04-30 00:10:02,76,0,77,Normal,2,PERFECT,0
181,2021-04-30 00:10:02,80,0,74,Normal,2,PERFECT,0
182,2021-04-30 00:10:02,82,0,78,Normal,2,PERFECT,0
183,2021-04-30 00:10:02,83,0,48,Normal,2,GOOD,1
184,2021-04-30 00:10:02,85,0,67,Normal,2,PERFECT,0
185,2021-04-30 00:10:02,86,0,86,Normal,2,PERFECT,0
186,2021-04-30 00:10:02,87,0,43,Normal,2,GOOD,1
187,2021-04-30 00:10:02,90,0,45,Normal,2,GOOD,1
188,2021-04-30 00:10:02,92,0,80,Normal,2,PERFECT,0
189,2021-04-30 00:10:02,93,0,93,Normal,2,PERFECT,0
190,2021-04-30 00:10:02,94,0,66,Normal,2,PERFECT,0
191,2021-04-30 00:10:02,95,0,45,Normal,2,GOOD,1
192,2021-04-30 00:10:02,96,0,70,Normal,2,PERFECT,0
193,2021-04-30 00:10:02,99,0,47,Normal,2,GOOD,1
194,2021-04-30 00:10:02,102,0,87,Normal,2,PERFECT,0
195,2021-04-30 00:10:02,103,0,65,Normal,2,PERFECT,0
196,2021-04-30 00:10:02,104,0,81,Normal,2,PERFECT,0
197,2021-04-30 00:10:02,106,0,80,Normal,2,PERFECT,0
198,2021-04-30 00:10:02,111,0,68,Normal,2,PERFECT,0
199,2021-04-30 00:10:02,114,0,80,Normal,2,PERFECT,0
200,2021-04-30 00:10:02,116,0,44,Normal,2,GOOD,1
201,2021-04-30 00:10:02,117,0,41,Normal,2,GOOD,1
202,2021-04-30 00:10:02,120,0,47,Normal,2,GOOD,1
203,2021-04-30 00:10:02,124,0,77,Laying on the ground,5,PERFECT,0
204,2021-04-30 00:15:02,5,0,70,Normal,2,PERFECT,0
205,2021-04-30 00:15:02,6,0,62,Normal,2,PERFECT,0
206,2021-04-30 00:15:02,7,0,66,Normal,2,PERFECT,0
207,2021-04-30 00:15:02,8,0,70,Normal,2,PERFECT,0
208,2021-04-30 00:15:02,9,0,75,Normal,2,PERFECT,0
209,2021-04-30 00:15:02,10,0,72,Normal,2,PERFECT,0
210,2021-04-30 00:15:02,12,0,65,Normal,2,PERFECT,0
211,2021-04-30 00:15:02,13,0,77,Normal,2,PERFECT,0
212,2021-04-30 00:15:02,14,0,46,Normal,2,GOOD,1
213,2021-04-30 00:15:02,16,0,0,Normal,2,DEAD,3
214,2021-04-30 00:15:02,17,0,48,Normal,2,GOOD,1
215,2021-04-30 00:15:02,18,0,47,Normal,2,GOOD,1
216,2021-04-30 00:15:02,19,0,80,Normal,2,PERFECT,0
217,2021-04-30 00:15:02,20,0,76,Normal,2,PERFECT,0
218,2021-04-30 00:15:02,21,0,77,Normal,2,PERFECT,0
219,2021-04-30 00:15:02,22,0,67,Normal,2,PERFECT,0
220,2021-04-30 00:15:02,25,0,0,Normal,2,DEAD,3
221,2021-04-30 00:15:02,26,0,88,Normal,2,PERFECT,0
222,2021-04-30 00:15:02,27,0,53,Normal,2,GOOD,1
223,2021-04-30 00:15:02,30,0,67,Normal,2,PERFECT,0
224,2021-04-30 00:15:02,31,0,42,Normal,2,GOOD,1
225,2021-04-30 00:15:02,33,0,60,Normal,2,GOOD,1
226,2021-04-30 00:15:02,35,0,47,Normal,2,GOOD,1
227,2021-04-30 00:15:02,41,0,82,Normal,2,PERFECT,0
228,2021-04-30 00:15:02,42,0,77,Normal,2,PERFECT,0
229,2021-04-30 00:15:02,43,0,81,Normal,2,PERFECT,0
230,2021-04-30 00:15:02,44,0,0,Normal,2,DEAD,3
231,2021-04-30 00:15:02,45,0,80,Normal,2,PERFECT,0
232,2021-04-30 00:15:02,48,0,80,Normal,2,PERFECT,0
233,2021-04-30 00:15:02,50,0,41,Normal,2,GOOD,1
234,2021-04-30 00:15:02,52,0,64,Normal,2,PERFECT,0
235,2021-04-30 00:15:02,53,0,47,Normal,2,GOOD,1
236,2021-04-30 00:15:02,55,0,53,Normal,2,GOOD,1
237,2021-04-30 00:15:02,56,0,66,Normal,2,PERFECT,0
238,2021-04-30 00:15:02,59,0,40,Normal,2,GOOD,1
239,2021-04-30 00:15:02,60,0,30,Normal,2,GOOD,1
240,2021-04-30 00:15:02,61,0,33,Normal,2,GOOD,1
241,2021-04-30 00:15:02,63,0,37,Normal,2,GOOD,1
242,2021-04-30 00:15:02,66,0,63,Normal,2,PERFECT,0
243,2021-04-30 00:15:02,69,0,48,Normal,2,GOOD,1
244,2021-04-30 00:15:02,71,0,36,Normal,2,GOOD,1
245,2021-04-30 00:15:02,73,0,57,Normal,2,GOOD,1
246,2021-04-30 00:15:02,74,0,75,Normal,2,PERFECT,0
247,2021-04-30 00:15:02,75,0,67,Normal,2,PERFECT,0
248,2021-04-30 00:15:02,76,0,77,Normal,2,PERFECT,0
249,2021-04-30 00:15:02,80,0,74,Normal,2,PERFECT,0
250,2021-04-30 00:15:02,82,0,78,Normal,2,PERFECT,0
251,2021-04-30 00:15:02,83,0,48,Normal,2,GOOD,1
252,2021-04-30 00:15:02,85,0,67,Normal,2,PERFECT,0
253,2021-04-30 00:15:02,86,0,86,Normal,2,PERFECT,0
254,2021-04-30 00:15:02,87,0,43,Normal,2,GOOD,1
255,2021-04-30 00:15:02,90,0,45,Normal,2,GOOD,1
256,2021-04-30 00:15:02,92,0,80,Normal,2,PERFECT,0
257,2021-04-30 00:15:02,93,0,93,Normal,2,PERFECT,0
258,2021-04-30 00:15:02,94,0,66,Normal,2,PERFECT,0
259,2021-04-30 00:15:02,95,0,45,Normal,2,GOOD,1
260,2021-04-30 00:15:02,96,0,70,Normal,2,PERFECT,0
261,2021-04-30 00:15:02,99,0,47,Normal,2,GOOD,1
262,2021-04-30 00:15:02,102,0,87,Normal,2,PERFECT,0
263,2021-04-30 00:15:02,103,0,65,Normal,2,PERFECT,0
264,2021-04-30 00:15:02,104,0,81,Normal,2,PERFECT,0
265,2021-04-30 00:15:02,106,0,80,Normal,2,PERFECT,0
266,2021-04-30 00:15:02,111,0,68,Normal,2,PERFECT,0
267,2021-04-30 00:15:02,114,0,80,Normal,2,PERFECT,0
268,2021-04-30 00:15:02,116,0,44,Normal,2,GOOD,1
269,2021-04-30 00:15:02,117,0,41,Normal,2,GOOD,1
270,2021-04-30 00:15:02,120,0,47,Normal,2,GOOD,1
271,2021-04-30 00:15:02,124,0,77,Laying on the ground,5,PERFECT,0
272,2021-04-30 00:20:02,5,0,70,Normal,2,PERFECT,0
273,2021-04-30 00:20:02,6,0,62,Normal,2,PERFECT,0
274,2021-04-30 00:20:02,7,0,66,Normal,2,PERFECT,0
275,2021-04-30 00:20:02,8,0,68,Normal,2,PERFECT,0
276,2021-04-30 00:20:02,9,0,75,Normal,2,PERFECT,0
277,2021-04-30 00:20:02,10,0,72,Normal,2,PERFECT,0
278,2021-04-30 00:20:02,12,0,65,Normal,2,PERFECT,0
279,2021-04-30 00:20:02,13,0,77,Normal,2,PERFECT,0
280,2021-04-30 00:20:02,14,0,46,Normal,2,GOOD,1
281,2021-04-30 00:20:02,16,0,0,Normal,2,DEAD,3
282,2021-04-30 00:20:02,17,0,48,Normal,2,GOOD,1
283,2021-04-30 00:20:02,18,0,47,Normal,2,GOOD,1
284,2021-04-30 00:20:02,19,0,80,Normal,2,PERFECT,0
285,2021-04-30 00:20:02,20,0,76,Normal,2,PERFECT,0
286,2021-04-30 00:20:02,21,0,77,Normal,2,PERFECT,0
287,2021-04-30 00:20:02,22,0,67,Normal,2,PERFECT,0
288,2021-04-30 00:20:02,25,0,0,Normal,2,DEAD,3
289,2021-04-30 00:20:02,26,0,88,Normal,2,PERFECT,0
290,2021-04-30 00:20:02,27,0,53,Normal,2,GOOD,1
291,2021-04-30 00:20:02,30,0,67,Normal,2,PERFECT,0
292,2021-04-30 00:20:02,31,0,42,Normal,2,GOOD,1
293,2021-04-30 00:20:02,33,0,60,Normal,2,GOOD,1
294,2021-04-30 00:20:02,35,0,47,Normal,2,GOOD,1
295,2021-04-30 00:20:02,41,0,82,Normal,2,PERFECT,0
296,2021-04-30 00:20:02,42,0,77,Normal,2,PERFECT,0
297,2021-04-30 00:20:02,43,0,81,Normal,2,PERFECT,0
298,2021-04-30 00:20:02,44,0,0,Normal,2,DEAD,3
299,2021-04-30 00:20:02,45,0,80,Normal,2,PERFECT,0
300,2021-04-30 00:20:02,48,0,80,Normal,2,PERFECT,0
301,2021-04-30 00:20:02,50,0,41,Normal,2,GOOD,1
302,2021-04-30 00:20:02,52,0,64,Normal,2,PERFECT,0
303,2021-04-30 00:20:02,53,0,47,Normal,2,GOOD,1
304,2021-04-30 00:20:02,55,0,53,Normal,2,GOOD,1
305,2021-04-30 00:20:02,56,0,66,Normal,2,PERFECT,0
306,2021-04-30 00:20:02,59,0,40,Normal,2,GOOD,1
307,2021-04-30 00:20:02,60,0,30,Normal,2,GOOD,1
308,2021-04-30 00:20:02,61,0,33,Normal,2,GOOD,1
309,2021-04-30 00:20:02,63,0,37,Normal,2,GOOD,1
310,2021-04-30 00:20:02,66,0,63,Normal,2,PERFECT,0
311,2021-04-30 00:20:02,69,0,48,Normal,2,GOOD,1
312,2021-04-30 00:20:02,71,0,36,Normal,2,GOOD,1
313,2021-04-30 00:20:02,73,0,57,Normal,2,GOOD,1
314,2021-04-30 00:20:02,74,0,75,Normal,2,PERFECT,0
315,2021-04-30 00:20:02,75,0,67,Normal,2,PERFECT,0
316,2021-04-30 00:20:02,76,0,77,Normal,2,PERFECT,0
317,2021-04-30 00:20:02,80,0,74,Normal,2,PERFECT,0
318,2021-04-30 00:20:02,82,0,78,Normal,2,PERFECT,0
319,2021-04-30 00:20:02,83,0,48,Normal,2,GOOD,1
320,2021-04-30 00:20:02,85,0,67,Normal,2,PERFECT,0
321,2021-04-30 00:20:02,86,0,86,Normal,2,PERFECT,0
322,2021-04-30 00:20:02,87,0,43,Normal,2,GOOD,1
323,2021-04-30 00:20:02,90,0,45,Normal,2,GOOD,1
324,2021-04-30 00:20:02,92,0,80,Normal,2,PERFECT,0
325,2021-04-30 00:20:02,93,0,93,Normal,2,PERFECT,0
326,2021-04-30 00:20:02,94,0,66,Normal,2,PERFECT,0
327,2021-04-30 00:20:02,95,0,45,Normal,2,GOOD,1
328,2021-04-30 00:20:02,96,0,70,Normal,2,PERFECT,0
329,2021-04-30 00:20:02,99,0,47,Normal,2,GOOD,1
330,2021-04-30 00:20:02,102,0,87,Normal,2,PERFECT,0
331,2021-04-30 00:20:02,103,0,65,Normal,2,PERFECT,0
332,2021-04-30 00:20:02,104,0,81,Normal,2,PERFECT,0
333,2021-04-30 00:20:02,106,0,80,Normal,2,PERFECT,0
334,2021-04-30 00:20:02,111,0,68,Normal,2,PERFECT,0
335,2021-04-30 00:20:02,114,0,80,Normal,2,PERFECT,0
336,2021-04-30 00:20:02,116,0,44,Normal,2,GOOD,1
337,2021-04-30 00:20:02,117,0,41,Normal,2,GOOD,1
338,2021-04-30 00:20:02,120,0,47,Normal,2,GOOD,1
339,2021-04-30 00:20:02,124,0,77,Laying on the ground,5,PERFECT,0
340,2021-04-30 00:25:02,5,0,70,Normal,2,PERFECT,0
341,2021-04-30 00:25:02,6,0,62,Normal,2,PERFECT,0
342,2021-04-30 00:25:02,7,0,66,Normal,2,PERFECT,0
343,2021-04-30 00:25:02,8,0,68,Normal,2,PERFECT,0
344,2021-04-30 00:25:02,9,0,75,Normal,2,PERFECT,0
345,2021-04-30 00:25:02,10,0,72,Normal,2,PERFECT,0
346,2021-04-30 00:25:02,12,0,65,Normal,2,PERFECT,0
347,2021-04-30 00:25:02,13,0,77,Normal,2,PERFECT,0
348,2021-04-30 00:25:02,14,0,46,Normal,2,GOOD,1
349,2021-04-30 00:25:02,16,0,0,Normal,2,DEAD,3
350,2021-04-30 00:25:02,17,0,48,Normal,2,GOOD,1
351,2021-04-30 00:25:02,18,0,47,Normal,2,GOOD,1
352,2021-04-30 00:25:02,19,0,80,Normal,2,PERFECT,0
353,2021-04-30 00:25:02,20,0,76,Normal,2,PERFECT,0
354,2021-04-30 00:25:02,21,0,77,Normal,2,PERFECT,0
355,2021-04-30 00:25:02,22,0,67,Normal,2,PERFECT,0
356,2021-04-30 00:25:02,25,0,0,Normal,2,DEAD,3
357,2021-04-30 00:25:02,26,0,88,Normal,2,PERFECT,0
358,2021-04-30 00:25:02,27,0,53,Normal,2,GOOD,1
359,2021-04-30 00:25:02,30,0,67,Normal,2,PERFECT,0
360,2021-04-30 00:25:02,31,0,42,Normal,2,GOOD,1
361,2021-04-30 00:25:02,33,0,60,Normal,2,GOOD,1
362,2021-04-30 00:25:02,35,0,47,Normal,2,GOOD,1
363,2021-04-30 00:25:02,41,0,82,Normal,2,PERFECT,0
364,2021-04-30 00:25:02,42,0,77,Normal,2,PERFECT,0
365,2021-04-30 00:25:02,43,0,81,Normal,2,PERFECT,0
366,2021-04-30 00:25:02,44,0,0,Normal,2,DEAD,3
367,2021-04-30 00:25:02,45,0,80,Normal,2,PERFECT,0
368,2021-04-30 00:25:02,48,0,80,Normal,2,PERFECT,0
369,2021-04-30 00:25:02,50,0,41,Normal,2,GOOD,1
370,2021-04-30 00:25:02,52,0,64,Normal,2,PERFECT,0
